Fecha,Producto,Marca,Precio,Unidad,Categoria
2026-03-08,Vinagre de alcohol Carrefour classic 1 l.,Carrefour,1431.0,1.0 un,Almacen
2026-03-08,Vinagre de alcohol Alcazar 1 l.,Alcazar,1230.0,1.0 un,Almacen
2026-03-08,Mayonesa Natura 950 g.,Natura,5089.0,1.0 un,Almacen
2026-03-08,Pate de foie Swift lata 90 g.,Swift,1249.0,1.0 un,Almacen
2026-03-08,Paté de foie Bulnez en lata 90 grs,Bulnez,849.0,1.0 un,Almacen
2026-03-08,Puré de tomate Carrefour Classic tetra 520 grs,Carrefour,836.07,1.0 un,Almacen
2026-03-08,Arroz blanco Shangrila 1 kg,Shangrila,1050.0,1.0 un,Almacen
2026-03-08,Tomate triturado Corper sin gluten 910 grs,Corper,2289.0,1.0 un,Almacen
2026-03-08,Papas fritas Carrefour Classic en bolsa 250 grs,Carrefour,3026.8,1.0 un,Almacen
2026-03-08,Puré Chef 100 grs,Chef,1839.0,1.0 un,Almacen
2026-03-08,Harina de trigo Bulnez 000 1 kg,Bulnez,789.0,1.0 un,Almacen
2026-03-08,Harina de trigo 0000 Bulnez 1 kg.,Bulnez,949.0,1.0 un,Almacen
2026-03-08,Aceituna verde Carrefour Classic en rodajas doypack 150 grs,Carrefour,1810.9,1.0 un,Almacen
2026-03-08,Fideos codos Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un,Almacen
2026-03-08,Fideos mostachol Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un,Almacen
2026-03-08,Jugo de limón Bulnez en botella 1000 cc.,Bulnez,2890.0,1.0 un,Almacen
2026-03-08,Vinagre de alcohol Bulnez bidón 5000 cc.,Bulnez,6790.0,1.0 un,Almacen
2026-03-08,Aceitunas descarozadas Morixe dp 300 g.,Morixe,2250.0,1.0 un,Almacen
2026-03-08,Salsa pizza Knorr 200 g.,Knorr,1009.0,1.0 un,Almacen
2026-03-08,Garbanzo Carrefour Classic 400 g.,Carrefour,1400.6,1.0 un,Almacen
2026-03-08,Sal gruesa Bulnez en bolsa 1 kg.,Bulnez,1490.0,1.0 un,Almacen
2026-03-08,Caldo Knorr de gallina deshidratado 12 cubos.,Knorr,2725.0,1.0 un,Almacen
2026-03-08,Polenta instantanea Prestopronta en bolsa 490 g.,Presto Pronta,1529.0,1.0 un,Almacen
2026-03-08,Fideos tallarin Don bernabeu 500 g.,Don Bernabeu,849.0,1.0 un,Almacen
2026-03-08,Gelatina light Exquista de frutilla 25 g.,Exquisita,1200.0,1.0 un,Almacen
2026-03-08,Arroz parboil Gallo oro en bolsa 500 g.,Gallo,1319.0,1.0 un,Almacen
2026-03-08,Choclo cremoso amarillo Carrefour classic en lata 300 g.,Carrefour,727.09,1.0 un,Almacen
2026-03-08,Gelatina fortificada Exquisita de frambuesa 40 g.,Exquisita,1200.0,1.0 un,Almacen
2026-03-08,Aceite de girasol en aerosol Fritolim clásico 120 g.,Cocinero,4755.0,1.0 un,Almacen
2026-03-08,Fideos cinta fetuccini Don vicente 500 g.,Don Vicente,3399.0,1.0 un,Almacen
2026-03-08,Fideos penne rigate N45 Lucchetti 500 g.,Lucchetti,1499.0,1.0 un,Almacen
2026-03-08,Papas fritas Krachitos corte americano 420 g.,Krachitos,5729.0,1.0 un,Almacen
2026-03-08,Fideos sin tacc spaghetti Matarazzo 500 g.,Matarazzo,4249.0,1.0 un,Almacen
2026-03-08,Fideos integrales spaghetti Matarazzo 500 g.,Matarazzo,2149.0,1.0 un,Almacen
2026-03-08,Fideos tirabuzon Matarazzo 3 vegetales 500 g.,Matarazzo,2149.0,1.0 un,Almacen
2026-03-08,Fideos penne rigante Matarazzo 500 g.,Matarazzo,1849.0,1.0 un,Almacen
2026-03-08,Arroz largo fino 00000 Lucchetti 1 kg.,Lucchetti,1799.0,1.0 un,Almacen
2026-03-08,Arroz doble Gallo 500 g.,Gallo,2200.0,1.0 un,Almacen
2026-03-08,Salsa BBQ Dánica dp 220 g.,Dánica,1519.0,1.0 un,Almacen
2026-03-08,Ketchup Dánica dp 220 g.,Dánica,1300.0,1.0 un,Almacen
2026-03-08,Mayonesa Dánica dp 500 g.,Dánica,1749.0,1.0 un,Almacen
